,RandomState,VOC,RMSE,MAE,R2
1000,FALSE,131.085,0.109303655,0.080204661,0.350258724
1001,TRUE,131.085,0.195655887,0.153593324,-0.058910352
1002,FALSE,131.085,0.111414885,0.082455496,0.367176267
1003,TRUE,131.085,0.193435231,0.151489949,-0.021682558
1004,FALSE,131.085,0.113340176,0.082747788,0.350593177
1005,TRUE,131.085,0.197578262,0.154970004,-0.02594939
1006,FALSE,131.085,0.109937257,0.081259134,0.37696628
1007,TRUE,131.085,0.193972903,0.15228592,-0.028411638
1008,FALSE,131.085,0.113467903,0.083013646,0.343591705
1009,TRUE,131.085,0.198090894,0.156128965,-0.039347487
1010,FALSE,131.085,0.109822956,0.080179633,0.378239638
1011,TRUE,131.085,0.19757996,0.155810045,-0.018640751
1012,FALSE,131.085,0.113792075,0.083408271,0.351202066
1013,TRUE,131.085,0.197084708,0.155160222,-0.026624078
1014,FALSE,131.085,0.111540866,0.08186817,0.340329859
1015,TRUE,131.085,0.196804336,0.154361557,-0.038653624
1016,FALSE,131.085,0.11364896,0.083605752,0.326026356
1017,TRUE,131.085,0.198487479,0.155756752,-0.031552851
1018,FALSE,131.085,0.113556522,0.083425395,0.322732585
1019,TRUE,131.085,0.197692814,0.154293133,-0.033160706
1020,FALSE,131.085,0.113984738,0.082808758,0.342824366
1021,TRUE,131.085,0.197308096,0.154542857,-0.037362298
1022,FALSE,131.085,0.112281074,0.082922903,0.362222835
1023,TRUE,131.085,0.197536462,0.154975426,-0.030119828
1024,FALSE,131.085,0.113917204,0.08355139,0.319855986
1025,TRUE,131.085,0.195834993,0.153928884,-0.052550555
1026,FALSE,131.085,0.111712927,0.082875383,0.357930797
1027,TRUE,131.085,0.197103401,0.155477145,-0.049363836
1028,FALSE,131.085,0.109465446,0.0804943,0.371026839
1029,TRUE,131.085,0.192035074,0.15206081,-0.043280918
1030,FALSE,131.085,0.109433617,0.080179024,0.371757295
1031,TRUE,131.085,0.192169452,0.151315625,-0.047717581
1032,FALSE,131.085,0.112297476,0.082250008,0.347723299
1033,TRUE,131.085,0.195230424,0.152289546,-0.027738008
1034,FALSE,131.085,0.107575739,0.079580504,0.370483002
1035,TRUE,131.085,0.195843675,0.152832694,-0.028135519
1036,FALSE,131.085,0.113474617,0.083514387,0.328225612
1037,TRUE,131.085,0.198318306,0.157242886,-0.00677596
1038,FALSE,131.085,0.110720588,0.081352589,0.336724936
1039,TRUE,131.085,0.199557385,0.157270948,-0.049874569
1040,FALSE,131.085,0.110440451,0.081372205,0.360009725
1041,TRUE,131.085,0.194263862,0.151474853,-0.05491636
