,RandomState,VOC,RMSE,MAE,R2
0,FALSE,71.085,0.083022935,0.062435084,0.07906691
1,TRUE,71.085,0.174342238,0.133604329,0.041348207
2,FALSE,71.085,0.084447114,0.062690421,0.078314968
3,TRUE,71.085,0.163949474,0.125202685,0.065921838
4,FALSE,71.085,0.081782444,0.062261962,0.078022965
5,TRUE,71.085,0.171129956,0.130940983,-0.003175078
6,FALSE,71.085,0.082964216,0.062122985,0.082036516
7,TRUE,71.085,0.167709616,0.126994674,0.062978547
8,FALSE,71.085,0.085879737,0.063869752,0.094248982
9,TRUE,71.085,0.175874554,0.133327908,0.027356178
10,FALSE,71.085,0.084795153,0.064021371,0.084919489
11,TRUE,71.085,0.176471134,0.136132089,0.017707529
12,FALSE,71.085,0.083741036,0.062689616,0.080028141
13,TRUE,71.085,0.171094039,0.131476507,0.034711866
14,FALSE,71.085,0.083589908,0.062268578,0.100627933
15,TRUE,71.085,0.182278488,0.140379239,-0.05577355
16,FALSE,71.085,0.085260352,0.064167281,0.072822819
17,TRUE,71.085,0.1752299,0.133802513,0.047502078
18,FALSE,71.085,0.083038081,0.063294774,0.088254429
19,TRUE,71.085,0.173589526,0.135565125,-0.030287524
20,FALSE,71.085,0.083103256,0.062541716,0.071001037
21,TRUE,71.085,0.173581927,0.132446305,0.016976041
22,FALSE,71.085,0.082381199,0.062069482,0.086655228
23,TRUE,71.085,0.169566269,0.130380811,0.065276953
24,FALSE,71.085,0.083362918,0.063617096,0.078661197
25,TRUE,71.085,0.176406274,0.135547135,-0.005565171
26,FALSE,71.085,0.082413926,0.062523302,0.095206256
27,TRUE,71.085,0.177148057,0.136660022,-0.003895864
28,FALSE,71.085,0.083060756,0.062497366,0.090335165
29,TRUE,71.085,0.176496307,0.133706422,0.044686287
30,FALSE,71.085,0.082832297,0.062481556,0.088062867
31,TRUE,71.085,0.176287628,0.133961216,-0.021880348
32,FALSE,71.085,0.086137896,0.064062758,0.077906319
33,TRUE,71.085,0.172710034,0.130832806,0.031395456
34,FALSE,71.085,0.084687624,0.06365397,0.057543012
35,TRUE,71.085,0.174542105,0.13305371,0.010711919
36,FALSE,71.085,0.083977765,0.063074507,0.086071722
37,TRUE,71.085,0.171139588,0.1302027,0.009282739
38,FALSE,71.085,0.081510337,0.061928427,0.091273302
39,TRUE,71.085,0.174845497,0.13439127,0.037370928
40,FALSE,71.085,0.084498545,0.0635611,0.092106091
41,TRUE,71.085,0.176294695,0.134380935,0.052243159
42,FALSE,71.085,0.084813547,0.06331928,0.079344225
43,TRUE,71.085,0.178121228,0.136995277,0.00728694
44,FALSE,71.085,0.084214989,0.062667078,0.087019153
45,TRUE,71.085,0.176996082,0.136188688,0.001209818
46,FALSE,71.085,0.084207315,0.062717915,0.099524186
47,TRUE,71.085,0.178469133,0.136050143,0.024658151
48,FALSE,71.085,0.083199953,0.062659937,0.080091912
49,TRUE,71.085,0.173185521,0.132152819,-0.008118784
50,FALSE,71.085,0.082281662,0.062349534,0.088432618
51,TRUE,71.085,0.173763324,0.133420284,0.003426704
52,FALSE,71.085,0.083660717,0.062775607,0.083538951
53,TRUE,71.085,0.175632312,0.1356308,-0.025114252
54,FALSE,71.085,0.083895532,0.063114871,0.076304913
55,TRUE,71.085,0.17510835,0.134054793,0.011685277
56,FALSE,71.085,0.083971965,0.063510109,0.074335904
57,TRUE,71.085,0.17548016,0.135416357,0.010129554
58,FALSE,71.085,0.083158227,0.062992504,0.079702665
