,RandomState,VOC,RMSE,MAE,R2
0,FALSE,356.071,0.12787972,0.093402922,0.240390816
1,TRUE,356.071,0.165926014,0.120452791,-0.079754125
2,FALSE,356.071,0.127720566,0.092878164,0.220666272
3,TRUE,356.071,0.170666101,0.122193307,-0.102874147
4,FALSE,356.071,0.131262156,0.095444019,0.233456648
5,TRUE,356.071,0.16968367,0.123375057,-0.088582087
6,FALSE,356.071,0.1330667,0.096459667,0.234448746
7,TRUE,356.071,0.174107641,0.123818119,-0.096317877
8,FALSE,356.071,0.131080371,0.094709639,0.232835771
9,TRUE,356.071,0.168754361,0.11911538,-0.103259834
10,FALSE,356.071,0.131007967,0.094634415,0.208778409
11,TRUE,356.071,0.164897965,0.11846056,-0.095869209
12,FALSE,356.071,0.133405629,0.095579014,0.219617151
13,TRUE,356.071,0.169437239,0.121056161,-0.088433228
14,FALSE,356.071,0.130966313,0.094431695,0.229403706
15,TRUE,356.071,0.173793115,0.123817107,-0.092046012
16,FALSE,356.071,0.128356743,0.09251494,0.25042031
17,TRUE,356.071,0.166319763,0.119683481,-0.067478807
18,FALSE,356.071,0.131645701,0.095857725,0.224188396
19,TRUE,356.071,0.170810698,0.122344709,-0.117878905
20,FALSE,356.071,0.129816524,0.094228958,0.238821687
21,TRUE,356.071,0.160305572,0.11430897,-0.111170733
22,FALSE,356.071,0.132707536,0.095665711,0.234847631
23,TRUE,356.071,0.179444113,0.128059893,-0.111149093
24,FALSE,356.071,0.131879816,0.095572956,0.222248305
25,TRUE,356.071,0.168870905,0.122942405,-0.108679019
26,FALSE,356.071,0.128846578,0.093186128,0.233944007
27,TRUE,356.071,0.164296921,0.117863869,-0.066907528
28,FALSE,356.071,0.130493483,0.094577197,0.231948105
29,TRUE,356.071,0.170983001,0.122551383,-0.100267431
30,FALSE,356.071,0.130122866,0.094099341,0.225339824
31,TRUE,356.071,0.165593874,0.11756957,-0.07958834
32,FALSE,356.071,0.131856768,0.095524727,0.231704637
33,TRUE,356.071,0.169236719,0.122363528,-0.129650686
34,FALSE,356.071,0.132779181,0.09498302,0.20204771
35,TRUE,356.071,0.169097541,0.118848718,-0.09090515
36,FALSE,356.071,0.129193378,0.094012966,0.237927059
37,TRUE,356.071,0.165942764,0.118628265,-0.088332603
38,FALSE,356.071,0.131798592,0.09535936,0.220664941
39,TRUE,356.071,0.168105762,0.119895062,-0.106701615
40,FALSE,356.071,0.13207,0.096581337,0.230334461
41,TRUE,356.071,0.166740464,0.11863518,-0.106853157
42,FALSE,356.071,0.131141234,0.094830789,0.253779929
43,TRUE,356.071,0.167257268,0.119506578,-0.117191933
44,FALSE,356.071,0.133356541,0.096127554,0.217062272
45,TRUE,356.071,0.160582336,0.113531098,-0.081602292
46,FALSE,356.071,0.127492786,0.092581183,0.25202621
47,TRUE,356.071,0.166961016,0.117576081,-0.102988061
48,FALSE,356.071,0.130396936,0.09432061,0.247448055
49,TRUE,356.071,0.160251738,0.11380028,-0.07717819
50,FALSE,356.071,0.129506784,0.094415569,0.230556664
51,TRUE,356.071,0.171860627,0.123057251,-0.100395735
52,FALSE,356.071,0.129744326,0.094213431,0.259162703
53,TRUE,356.071,0.171859921,0.123216043,-0.099626779
54,FALSE,356.071,0.128961689,0.09278573,0.249729956
55,TRUE,356.071,0.165767014,0.118668918,-0.098077371
56,FALSE,356.071,0.127087655,0.092146669,0.248376873
57,TRUE,356.071,0.168167167,0.119370449,-0.085803319
58,FALSE,356.071,0.131833169,0.095988346,0.215608142
59,TRUE,356.071,0.164799588,0.117999527,-0.110064323
60,FALSE,356.071,0.12523885,0.091169687,0.261683571
61,TRUE,356.071,0.164030266,0.117354877,-0.106890915
62,FALSE,356.071,0.127110322,0.092187799,0.237845842
63,TRUE,356.071,0.169791296,0.122171956,-0.107482793
64,FALSE,356.071,0.130514743,0.094527878,0.236581425
65,TRUE,356.071,0.173821415,0.123646247,-0.085293546
66,FALSE,356.071,0.130272212,0.094507487,0.204040171
67,TRUE,356.071,0.177126926,0.126090604,-0.100691431
68,FALSE,356.071,0.130718333,0.094905644,0.23092469
69,TRUE,356.071,0.177444292,0.125874677,-0.088728947
70,FALSE,356.071,0.127780078,0.092887099,0.248790855
71,TRUE,356.071,0.167779239,0.120411994,-0.09637488
72,FALSE,356.071,0.130078015,0.093761929,0.236110159
73,TRUE,356.071,0.16054462,0.115711724,-0.118155783
74,FALSE,356.071,0.131744562,0.095212174,0.234021109
75,TRUE,356.071,0.178542343,0.125191483,-0.097773325
76,FALSE,356.071,0.130704967,0.094290668,0.236699738
77,TRUE,356.071,0.167459085,0.120618093,-0.09146382
78,FALSE,356.071,0.131058655,0.095033842,0.242400786
79,TRUE,356.071,0.173683651,0.124286045,-0.113964604
80,FALSE,356.071,0.130746976,0.094082054,0.245792809
81,TRUE,356.071,0.168482039,0.120493167,-0.096471365
82,FALSE,356.071,0.1320682,0.095313205,0.223683763
83,TRUE,356.071,0.164400631,0.118831848,-0.093787038
84,FALSE,356.071,0.128822913,0.093178075,0.2442963
85,TRUE,356.071,0.162822834,0.115653602,-0.090803893
86,FALSE,356.071,0.127771398,0.092162711,0.234944006
87,TRUE,356.071,0.172315273,0.121890925,-0.100112419
88,FALSE,356.071,0.13273743,0.095376496,0.235907044
89,TRUE,356.071,0.173320136,0.124607074,-0.084422836
90,FALSE,356.071,0.127725875,0.091929956,0.222994574
91,TRUE,356.071,0.165002705,0.12048872,-0.12008083
92,FALSE,356.071,0.131760223,0.095649958,0.220688412
93,TRUE,356.071,0.173436779,0.125112632,-0.106029787
94,FALSE,356.071,0.130258881,0.09441218,0.239941369
95,TRUE,356.071,0.181826354,0.128322463,-0.108222313
96,FALSE,356.071,0.129777401,0.094268597,0.255771316
97,TRUE,356.071,0.164035302,0.116228316,-0.098178517
98,FALSE,356.071,0.13093867,0.095336187,0.238853621
99,TRUE,356.071,0.165234025,0.118248001,-0.102707616
100,FALSE,356.071,0.132872085,0.095737637,0.232052679
101,TRUE,356.071,0.157218052,0.116138501,-0.111394138
102,FALSE,356.071,0.130150725,0.094523793,0.224784332
103,TRUE,356.071,0.172936788,0.122258283,-0.08787034
104,FALSE,356.071,0.13011839,0.094944997,0.228588763
105,TRUE,356.071,0.167255359,0.120626386,-0.098948656
106,FALSE,356.071,0.128695621,0.093225249,0.244357005
107,TRUE,356.071,0.165840428,0.119774313,-0.115871177
108,FALSE,356.071,0.132242612,0.095761814,0.200257594
109,TRUE,356.071,0.172732693,0.120318253,-0.11462416
110,FALSE,356.071,0.131706743,0.096069559,0.20501025
111,TRUE,356.071,0.172288918,0.123015387,-0.113211238
112,FALSE,356.071,0.131352196,0.09459575,0.215818849
113,TRUE,356.071,0.174962839,0.12304003,-0.078798125
114,FALSE,356.071,0.126668225,0.091937046,0.240966528
115,TRUE,356.071,0.16289897,0.116487027,-0.094604935
116,FALSE,356.071,0.128951857,0.093655207,0.225808944
117,TRUE,356.071,0.168733908,0.119135774,-0.073202109
118,FALSE,356.071,0.131427601,0.095512808,0.243467528
119,TRUE,356.071,0.163474188,0.117890177,-0.113185829
120,FALSE,356.071,0.129215968,0.093599342,0.234156612
121,TRUE,356.071,0.176973199,0.125778189,-0.106196636
122,FALSE,356.071,0.130119251,0.094696705,0.242007494
123,TRUE,356.071,0.164341287,0.118412029,-0.105191811
