,RandomState,VOC,RMSE,MAE,R2
2800,FALSE,87.08,0.110499805,0.086049698,0.108180229
2801,TRUE,87.08,0.17623255,0.139112212,-0.114483778
2802,FALSE,87.08,0.111015142,0.086182653,0.134902249
2803,TRUE,87.08,0.164375356,0.130444234,-0.109582769
2804,FALSE,87.08,0.110412239,0.085809885,0.122522201
2805,TRUE,87.08,0.166706786,0.132634099,-0.131412074
2806,FALSE,87.08,0.110185809,0.085347999,0.130430558
2807,TRUE,87.08,0.165439382,0.130772202,-0.102332978
2808,FALSE,87.08,0.110641712,0.086020687,0.088982153
2809,TRUE,87.08,0.168537588,0.132634603,-0.115775806
2810,FALSE,87.08,0.10926531,0.085869156,0.133616916
2811,TRUE,87.08,0.159052306,0.126504048,-0.100859524
2812,FALSE,87.08,0.108324641,0.083724852,0.149912785
2813,TRUE,87.08,0.163456592,0.130081772,-0.125778063
2814,FALSE,87.08,0.109147408,0.084624424,0.125831139
2815,TRUE,87.08,0.166377817,0.131294155,-0.125094405
2816,FALSE,87.08,0.10978111,0.08575468,0.125642887
2817,TRUE,87.08,0.163582243,0.129292794,-0.114634654
2818,FALSE,87.08,0.109703513,0.085113408,0.126063353
2819,TRUE,87.08,0.166752824,0.132692558,-0.090623319
2820,FALSE,87.08,0.109218977,0.0852527,0.140907704
2821,TRUE,87.08,0.170027194,0.13407889,-0.08327592
2822,FALSE,87.08,0.112190925,0.087354648,0.110842014
2823,TRUE,87.08,0.169792842,0.134225294,-0.110568468
2824,FALSE,87.08,0.113377271,0.088227241,0.080115531
2825,TRUE,87.08,0.164691547,0.130934874,-0.095341403
2826,FALSE,87.08,0.109983189,0.085876923,0.1313319
2827,TRUE,87.08,0.175446336,0.136934378,-0.114740238
2828,FALSE,87.08,0.11187486,0.086520763,0.117747138
2829,TRUE,87.08,0.16976738,0.134074478,-0.092496432
2830,FALSE,87.08,0.110653846,0.086285559,0.103051519
2831,TRUE,87.08,0.163906667,0.129951592,-0.10278885
2832,FALSE,87.08,0.107887399,0.083916837,0.154164105
2833,TRUE,87.08,0.16722883,0.132144481,-0.096541659
2834,FALSE,87.08,0.109513425,0.085464532,0.142468232
2835,TRUE,87.08,0.159960568,0.127577669,-0.091329762
2836,FALSE,87.08,0.108860142,0.084645126,0.135033073
2837,TRUE,87.08,0.167017138,0.13232679,-0.129033156
2838,FALSE,87.08,0.111546722,0.086534984,0.124527111
2839,TRUE,87.08,0.165303956,0.132095859,-0.103749351
2840,FALSE,87.08,0.108176708,0.084185866,0.141576884
2841,TRUE,87.08,0.162371915,0.128523625,-0.103811441
2842,FALSE,87.08,0.10972388,0.085299131,0.127524622
2843,TRUE,87.08,0.165303636,0.131252031,-0.085922099
2844,FALSE,87.08,0.110398729,0.085950462,0.134951433
2845,TRUE,87.08,0.175623301,0.139314087,-0.120447937
2846,FALSE,87.08,0.111475696,0.086602507,0.099086283
2847,TRUE,87.08,0.165082803,0.131824633,-0.122049987
2848,FALSE,87.08,0.110188559,0.085544658,0.117083564
2849,TRUE,87.08,0.164453142,0.130498713,-0.107835206
2850,FALSE,87.08,0.110031585,0.085863912,0.126800232
2851,TRUE,87.08,0.1622693,0.128860377,-0.11534468
2852,FALSE,87.08,0.111898242,0.087196039,0.113782171
2853,TRUE,87.08,0.167472255,0.134569994,-0.105279178
2854,FALSE,87.08,0.109814977,0.08564544,0.128356803
2855,TRUE,87.08,0.16347815,0.129744944,-0.105655881
2856,FALSE,87.08,0.109641998,0.085924663,0.157776468
2857,TRUE,87.08,0.164397641,0.130261985,-0.0802717
2858,FALSE,87.08,0.106732584,0.084151676,0.149248339
2859,TRUE,87.08,0.164820096,0.130717358,-0.100188339
2860,FALSE,87.08,0.109532621,0.084978606,0.139480364
2861,TRUE,87.08,0.166432077,0.131051569,-0.112949271
2862,FALSE,87.08,0.110593071,0.085856218,0.156040709
2863,TRUE,87.08,0.167706002,0.132739018,-0.09343099
2864,FALSE,87.08,0.109624019,0.085483793,0.116300901
2865,TRUE,87.08,0.166717609,0.131387096,-0.112306739
2866,FALSE,87.08,0.110872556,0.086535001,0.104845715
2867,TRUE,87.08,0.165677144,0.131878429,-0.0943129
2868,FALSE,87.08,0.109238588,0.085283276,0.116722568
2869,TRUE,87.08,0.167953859,0.133641434,-0.104907224
2870,FALSE,87.08,0.110311696,0.085338669,0.124652103
2871,TRUE,87.08,0.162820621,0.129243151,-0.086655223
2872,FALSE,87.08,0.108976549,0.084468906,0.125762516
2873,TRUE,87.08,0.165461072,0.131303209,-0.097369032
2874,FALSE,87.08,0.110176155,0.085600173,0.099877941
2875,TRUE,87.08,0.163135717,0.129435748,-0.10988755
2876,FALSE,87.08,0.108103102,0.084441717,0.137737102
2877,TRUE,87.08,0.162284218,0.129129147,-0.064783176
2878,FALSE,87.08,0.108831149,0.084561137,0.11944223
2879,TRUE,87.08,0.169364405,0.133525486,-0.097929332
2880,FALSE,87.08,0.110360723,0.085754526,0.097804682
2881,TRUE,87.08,0.163939869,0.130529816,-0.090404008
2882,FALSE,87.08,0.111082337,0.085850689,0.103983871
2883,TRUE,87.08,0.172410849,0.13505015,-0.084620901
2884,FALSE,87.08,0.109649931,0.085221365,0.136023395
2885,TRUE,87.08,0.164437921,0.129505291,-0.125750871
2886,FALSE,87.08,0.112116677,0.087250431,0.125608459
2887,TRUE,87.08,0.160058559,0.12721553,-0.08949849
2888,FALSE,87.08,0.110224945,0.086396223,0.12712752
2889,TRUE,87.08,0.1655646,0.131057219,-0.115468976
2890,FALSE,87.08,0.108198618,0.084666385,0.155298028
2891,TRUE,87.08,0.171907251,0.13383582,-0.116848537
2892,FALSE,87.08,0.110167021,0.085441237,0.147573723
2893,TRUE,87.08,0.162172608,0.127525254,-0.100163563
2894,FALSE,87.08,0.110652192,0.086227052,0.13124964
2895,TRUE,87.08,0.160922747,0.126595324,-0.117971783
2896,FALSE,87.08,0.111648231,0.086942198,0.116174199
2897,TRUE,87.08,0.16182725,0.129180195,-0.09857361
2898,FALSE,87.08,0.108198781,0.084154091,0.13408213
2899,TRUE,87.08,0.161206431,0.127960525,-0.096719226
2900,FALSE,87.08,0.110607174,0.086058535,0.099722166
2901,TRUE,87.08,0.164976289,0.131265575,-0.097621736
2902,FALSE,87.08,0.110192598,0.08568678,0.132860405
2903,TRUE,87.08,0.171755993,0.134798866,-0.119437229
2904,FALSE,87.08,0.110276046,0.085971161,0.12826585
2905,TRUE,87.08,0.172144724,0.136535507,-0.112083473
2906,FALSE,87.08,0.111167015,0.086092101,0.111994246
2907,TRUE,87.08,0.164496033,0.13147008,-0.089700578
2908,FALSE,87.08,0.110206014,0.085662415,0.130800286
2909,TRUE,87.08,0.167894022,0.132491746,-0.119548724
2910,FALSE,87.08,0.109381165,0.085756257,0.136526503
2911,TRUE,87.08,0.17037977,0.134790153,-0.107434963
2912,FALSE,87.08,0.111092903,0.086257919,0.119016514
2913,TRUE,87.08,0.164794496,0.131282841,-0.093573396
2914,FALSE,87.08,0.109040573,0.085159581,0.135865056
2915,TRUE,87.08,0.162178095,0.12931881,-0.089509732
2916,FALSE,87.08,0.11106787,0.086316216,0.111889504
2917,TRUE,87.08,0.164535165,0.130167226,-0.105674937
2918,FALSE,87.08,0.110001623,0.085186219,0.11091995
2919,TRUE,87.08,0.170385714,0.133845045,-0.106947316
2920,FALSE,87.08,0.110441683,0.085903374,0.126512693
2921,TRUE,87.08,0.164909758,0.12913922,-0.075705052
2922,FALSE,87.08,0.107963443,0.084323107,0.132698779
2923,TRUE,87.08,0.16904859,0.133446167,-0.099005448
2924,FALSE,87.08,0.11104563,0.086729497,0.099801266
2925,TRUE,87.08,0.160459548,0.127889693,-0.095591607
2926,FALSE,87.08,0.111524525,0.086498654,0.116996079
2927,TRUE,87.08,0.16543069,0.130795212,-0.096797449
2928,FALSE,87.08,0.106705209,0.083226995,0.138032468
2929,TRUE,87.08,0.172092914,0.135043231,-0.10115494
2930,FALSE,87.08,0.108124434,0.084691082,0.156008658
2931,TRUE,87.08,0.167811271,0.133210537,-0.076635956
2932,FALSE,87.08,0.10889578,0.084788903,0.135859419
2933,TRUE,87.08,0.162343106,0.129110528,-0.092793473
2934,FALSE,87.08,0.110425028,0.086026049,0.12995229
2935,TRUE,87.08,0.161858089,0.128637434,-0.08309281
2936,FALSE,87.08,0.110525038,0.086064635,0.134750278
2937,TRUE,87.08,0.165923191,0.132743041,-0.103268915
2938,FALSE,87.08,0.111013337,0.086295918,0.123712733
2939,TRUE,87.08,0.161081291,0.127859293,-0.084972186
2940,FALSE,87.08,0.108592575,0.084239716,0.125215808
2941,TRUE,87.08,0.172516947,0.136451112,-0.086235939
2942,FALSE,87.08,0.108324059,0.084150445,0.139769474
2943,TRUE,87.08,0.168548453,0.13389768,-0.111486225
2944,FALSE,87.08,0.111525045,0.08698507,0.111482714
2945,TRUE,87.08,0.167977017,0.13169456,-0.121727186
2946,FALSE,87.08,0.109971925,0.086015248,0.126715444
2947,TRUE,87.08,0.162364237,0.129155592,-0.110877183
2948,FALSE,87.08,0.110612253,0.086571845,0.107605309
2949,TRUE,87.08,0.160813137,0.126962402,-0.080742716
2950,FALSE,87.08,0.107695419,0.083876955,0.131104138
2951,TRUE,87.08,0.168168929,0.132915318,-0.100702041
2952,FALSE,87.08,0.110876541,0.086104724,0.111306702
2953,TRUE,87.08,0.168658998,0.134169499,-0.122142795
