,RandomState,VOC,RMSE,MAE,R2
800,FALSE,45.033,0.122201043,0.086650615,-0.106965584
801,TRUE,45.033,0.158290504,0.117657406,0.078874086
802,FALSE,45.033,0.122522369,0.086854097,-0.113208072
803,TRUE,45.033,0.158001881,0.118201446,0.134024104
804,FALSE,45.033,0.122448925,0.086842803,-0.115849585
805,TRUE,45.033,0.162837338,0.120723392,0.069086954
806,FALSE,45.033,0.118684484,0.084612673,-0.104821615
807,TRUE,45.033,0.16034398,0.120744636,0.062753443
808,FALSE,45.033,0.11975593,0.085835702,-0.121001779
809,TRUE,45.033,0.159745553,0.119858832,0.10187525
810,FALSE,45.033,0.121970519,0.087126243,-0.112145337
811,TRUE,45.033,0.160606394,0.119489426,0.11063214
812,FALSE,45.033,0.120575204,0.086595412,-0.135837218
813,TRUE,45.033,0.161394272,0.119925354,0.094967177
814,FALSE,45.033,0.119086172,0.085436942,-0.094129619
815,TRUE,45.033,0.165104534,0.123921833,0.030399788
816,FALSE,45.033,0.118279674,0.08519867,-0.132451865
817,TRUE,45.033,0.156826644,0.116905308,0.031132343
818,FALSE,45.033,0.122707759,0.08824885,-0.118253057
819,TRUE,45.033,0.158478565,0.116740685,0.093196166
820,FALSE,45.033,0.118315048,0.084523371,-0.110643914
821,TRUE,45.033,0.165271253,0.121753473,0.081630105
822,FALSE,45.033,0.123636198,0.087650942,-0.121061813
823,TRUE,45.033,0.163486165,0.120627298,0.101812838
824,FALSE,45.033,0.123048058,0.087228603,-0.117837166
825,TRUE,45.033,0.159051258,0.117615102,0.147720801
826,FALSE,45.033,0.117550515,0.084025185,-0.117813359
827,TRUE,45.033,0.159829215,0.118643577,0.08465737
828,FALSE,45.033,0.118165,0.085191379,-0.10107808
829,TRUE,45.033,0.162013566,0.120633474,0.067610226
830,FALSE,45.033,0.122719176,0.087136554,-0.109219904
831,TRUE,45.033,0.164276318,0.123182883,0.083502127
832,FALSE,45.033,0.119654522,0.08616346,-0.105861471
833,TRUE,45.033,0.158226665,0.117871944,0.067111023
834,FALSE,45.033,0.125883475,0.088691251,-0.125009288
835,TRUE,45.033,0.162725183,0.120145253,0.064851789
836,FALSE,45.033,0.119414565,0.085122416,-0.114185406
837,TRUE,45.033,0.159332903,0.1187777,0.108964691
838,FALSE,45.033,0.122558118,0.086983482,-0.12611062
839,TRUE,45.033,0.164067327,0.121028726,0.052103752
840,FALSE,45.033,0.120183988,0.086043305,-0.116017389
841,TRUE,45.033,0.159341913,0.119252632,0.042362082
842,FALSE,45.033,0.12163664,0.087159241,-0.11726799
843,TRUE,45.033,0.157830768,0.117643619,0.065667407
844,FALSE,45.033,0.121300578,0.086323104,-0.113991466
845,TRUE,45.033,0.15462907,0.114321165,0.117942212
846,FALSE,45.033,0.120714717,0.085970029,-0.121425574
847,TRUE,45.033,0.16178561,0.119531914,0.092084155
848,FALSE,45.033,0.12386465,0.087937238,-0.105658152
849,TRUE,45.033,0.159016762,0.118478758,0.066367318
850,FALSE,45.033,0.120124418,0.085463253,-0.110272244
851,TRUE,45.033,0.164587894,0.123521806,0.021156688
852,FALSE,45.033,0.118062589,0.084133385,-0.09951935
853,TRUE,45.033,0.164839476,0.123192051,0.071753752
854,FALSE,45.033,0.11852154,0.084743617,-0.096646245
855,TRUE,45.033,0.158779607,0.117831742,0.05907493
856,FALSE,45.033,0.121984589,0.086607707,-0.115019
857,TRUE,45.033,0.161614367,0.119487788,0.117223812
858,FALSE,45.033,0.121766918,0.086147577,-0.124374866
859,TRUE,45.033,0.162490323,0.120065772,0.06070393
860,FALSE,45.033,0.119929207,0.084744843,-0.078929541
861,TRUE,45.033,0.162783598,0.120597089,0.099396492
862,FALSE,45.033,0.123770454,0.087930472,-0.095228632
863,TRUE,45.033,0.160776749,0.121084502,0.101610714
864,FALSE,45.033,0.122003884,0.086310041,-0.095210861
865,TRUE,45.033,0.161566091,0.12127392,0.08280241
866,FALSE,45.033,0.122332489,0.086992665,-0.109369228
867,TRUE,45.033,0.161494498,0.118837169,0.156913588
868,FALSE,45.033,0.115412094,0.084069599,-0.112148867
869,TRUE,45.033,0.162188137,0.120489646,0.037251693
870,FALSE,45.033,0.120065256,0.086348868,-0.099017451
871,TRUE,45.033,0.16151551,0.120077721,0.077343766
872,FALSE,45.033,0.122065516,0.086959672,-0.131215912
873,TRUE,45.033,0.160380835,0.119166448,0.115522837
874,FALSE,45.033,0.12166037,0.086409526,-0.121995744
875,TRUE,45.033,0.159522238,0.11768575,0.08655526
876,FALSE,45.033,0.121855047,0.085845348,-0.088278456
877,TRUE,45.033,0.157990602,0.117885691,0.107102223
878,FALSE,45.033,0.125049044,0.088376494,-0.115876029
879,TRUE,45.033,0.160512514,0.120462208,0.049353209
880,FALSE,45.033,0.123233095,0.088067487,-0.107658611
881,TRUE,45.033,0.162155843,0.120771373,0.053186203
882,FALSE,45.033,0.123360079,0.087176767,-0.107539509
883,TRUE,45.033,0.168929613,0.125439719,0.061418133
884,FALSE,45.033,0.123228665,0.086446574,-0.10533162
885,TRUE,45.033,0.157848954,0.118202257,0.09839598
886,FALSE,45.033,0.11826781,0.084548891,-0.110483563
887,TRUE,45.033,0.160808157,0.119404673,0.098174774
888,FALSE,45.033,0.121139616,0.086528143,-0.12357807
889,TRUE,45.033,0.162128369,0.120214021,0.067834848
890,FALSE,45.033,0.119195269,0.084583358,-0.112015301
891,TRUE,45.033,0.159834855,0.121054882,0.067424538
892,FALSE,45.033,0.119400541,0.085990676,-0.098201333
893,TRUE,45.033,0.161029777,0.120481088,0.123269199
894,FALSE,45.033,0.118714875,0.08430374,-0.080788791
895,TRUE,45.033,0.16471826,0.121996353,0.05305309
896,FALSE,45.033,0.121571118,0.086378711,-0.086466874
897,TRUE,45.033,0.15702631,0.115898478,0.144508506
898,FALSE,45.033,0.120581847,0.085979016,-0.10877985
899,TRUE,45.033,0.163947202,0.121540382,0.040496727
900,FALSE,45.033,0.120982122,0.08541449,-0.100978203
901,TRUE,45.033,0.16627115,0.124614211,0.048472974
902,FALSE,45.033,0.119552011,0.085744475,-0.117955436
903,TRUE,45.033,0.157947921,0.119202763,0.09875638
904,FALSE,45.033,0.117640524,0.085345805,-0.120232878
905,TRUE,45.033,0.157618531,0.117473252,0.10836618
906,FALSE,45.033,0.117077292,0.084194376,-0.116656612
907,TRUE,45.033,0.163707449,0.121035912,0.073091327
908,FALSE,45.033,0.123217649,0.087350008,-0.079413732
909,TRUE,45.033,0.167439623,0.124685957,0.023309908
910,FALSE,45.033,0.123655358,0.087580745,-0.110908159
911,TRUE,45.033,0.164623865,0.123117012,0.061376966
912,FALSE,45.033,0.123936485,0.08751729,-0.125132921
913,TRUE,45.033,0.159508175,0.120953356,0.103672824
914,FALSE,45.033,0.120709685,0.085565184,-0.09701266
915,TRUE,45.033,0.167659013,0.123590551,0.074449817
916,FALSE,45.033,0.121931285,0.086563477,-0.101451189
917,TRUE,45.033,0.167782638,0.126080255,0.093820357
918,FALSE,45.033,0.119405736,0.085609012,-0.11849913
919,TRUE,45.033,0.161545815,0.119532892,0.093713682
920,FALSE,45.033,0.119957021,0.085699906,-0.097492504
921,TRUE,45.033,0.159825375,0.116954492,0.114542374
922,FALSE,45.033,0.119584771,0.085443422,-0.10344122
923,TRUE,45.033,0.161503222,0.11925727,0.107654307
924,FALSE,45.033,0.123419714,0.087510196,-0.118097659
925,TRUE,45.033,0.161858332,0.12042923,0.068846111
926,FALSE,45.033,0.11978284,0.086222222,-0.113125538
927,TRUE,45.033,0.159626782,0.119409788,0.040819454
928,FALSE,45.033,0.124175508,0.088777644,-0.107379773
929,TRUE,45.033,0.160912728,0.120852954,0.058231583
930,FALSE,45.033,0.119768623,0.08582403,-0.114023547
931,TRUE,45.033,0.159032027,0.118207044,0.067681844
932,FALSE,45.033,0.123177674,0.086386748,-0.117799956
933,TRUE,45.033,0.166166626,0.125653827,0.068022318
934,FALSE,45.033,0.119517275,0.085011754,-0.097508642
935,TRUE,45.033,0.161363741,0.119192499,0.128836906
936,FALSE,45.033,0.121782252,0.08624787,-0.098791082
937,TRUE,45.033,0.160360046,0.118229309,0.115051732
938,FALSE,45.033,0.120486487,0.085085311,-0.095995808
939,TRUE,45.033,0.163364579,0.122857479,0.058791024
940,FALSE,45.033,0.121930889,0.086873889,-0.122429556
941,TRUE,45.033,0.161799586,0.121564283,0.080996631
942,FALSE,45.033,0.122861626,0.086755585,-0.110521319
943,TRUE,45.033,0.155017227,0.116760051,0.031195726
944,FALSE,45.033,0.122475512,0.08610627,-0.101843988
945,TRUE,45.033,0.157440289,0.118975172,0.119984408
946,FALSE,45.033,0.120491831,0.086041043,-0.106973867
947,TRUE,45.033,0.161633087,0.12041878,0.055419913
948,FALSE,45.033,0.118637913,0.085016765,-0.113373326
949,TRUE,45.033,0.162028064,0.120722027,0.101013008
950,FALSE,45.033,0.121124674,0.085725778,-0.089303399
951,TRUE,45.033,0.166032937,0.125253839,0.038618329
952,FALSE,45.033,0.122363129,0.087011678,-0.109637706
953,TRUE,45.033,0.162617096,0.122142473,0.057328467
954,FALSE,45.033,0.117787877,0.084668083,-0.122945315
955,TRUE,45.033,0.164757916,0.122514577,0.08099178
956,FALSE,45.033,0.120616886,0.085071141,-0.092675676
957,TRUE,45.033,0.167313164,0.125034226,0.04776215
958,FALSE,45.033,0.126015286,0.089198821,-0.098065176
959,TRUE,45.033,0.162589981,0.119189412,0.10505581
960,FALSE,45.033,0.120696122,0.086238008,-0.09615123
961,TRUE,45.033,0.163075664,0.121371325,0.091743767
962,FALSE,45.033,0.119538187,0.085455159,-0.095749887
963,TRUE,45.033,0.154870634,0.115754093,0.119463537
964,FALSE,45.033,0.12013207,0.085195012,-0.121741123
965,TRUE,45.033,0.164273986,0.120935794,0.094282746
966,FALSE,45.033,0.118872949,0.085137217,-0.115020392
967,TRUE,45.033,0.16282173,0.120055953,0.051915607
968,FALSE,45.033,0.125354463,0.087860335,-0.101491646
969,TRUE,45.033,0.160634688,0.117954245,0.109429779
970,FALSE,45.033,0.124162673,0.088880913,-0.123006809
971,TRUE,45.033,0.164454693,0.120611582,0.041715006
972,FALSE,45.033,0.120996535,0.085849506,-0.093822532
973,TRUE,45.033,0.157993825,0.116598815,0.093577442
974,FALSE,45.033,0.122214873,0.087057377,-0.104608489
975,TRUE,45.033,0.159130577,0.117878946,0.119126222
976,FALSE,45.033,0.120900477,0.08611617,-0.107951681
977,TRUE,45.033,0.163673452,0.120290633,0.078186849
978,FALSE,45.033,0.120954756,0.086360734,-0.111865242
979,TRUE,45.033,0.158926457,0.120200759,0.088675091
980,FALSE,45.033,0.119579173,0.085269927,-0.101369276
981,TRUE,45.033,0.16592936,0.123466753,0.021274684
982,FALSE,45.033,0.121808278,0.086703119,-0.101556795
983,TRUE,45.033,0.161892546,0.120567701,0.0839883
984,FALSE,45.033,0.122689553,0.087327879,-0.137655429
985,TRUE,45.033,0.159390348,0.119609501,0.077277475
986,FALSE,45.033,0.121320165,0.086004165,-0.108701533
987,TRUE,45.033,0.16442294,0.121459553,0.048305565
988,FALSE,45.033,0.120553051,0.085656417,-0.125954933
989,TRUE,45.033,0.162852936,0.121997992,0.08863226
990,FALSE,45.033,0.118279766,0.084710613,-0.106870601
991,TRUE,45.033,0.161361414,0.121844228,0.095120636
992,FALSE,45.033,0.121499667,0.086496604,-0.107421963
993,TRUE,45.033,0.163454595,0.12405099,0.053544333
994,FALSE,45.033,0.120052067,0.086120378,-0.108460239
995,TRUE,45.033,0.161907667,0.122133974,0.104769124
996,FALSE,45.033,0.116237809,0.083870647,-0.101664625
997,TRUE,45.033,0.157972593,0.116466828,0.100929292
998,FALSE,45.033,0.121433885,0.085990816,-0.104457675
999,TRUE,45.033,0.163816163,0.122580817,0.080098657
