,RandomState,VOC,RMSE,MAE,R2
800,FALSE,129.07,0.104641875,0.077724682,0.278305618
801,TRUE,129.07,0.146091061,0.110740166,0.201655221
802,FALSE,129.07,0.10689338,0.079211401,0.265494448
803,TRUE,129.07,0.148454447,0.112179226,0.193818107
804,FALSE,129.07,0.104598896,0.077952773,0.280815784
805,TRUE,129.07,0.150105074,0.114747253,0.152459314
806,FALSE,129.07,0.104217931,0.077621665,0.279769309
807,TRUE,129.07,0.144740667,0.109955929,0.172381618
808,FALSE,129.07,0.104076708,0.076636147,0.284067991
809,TRUE,129.07,0.15355843,0.117094735,0.141380635
810,FALSE,129.07,0.105728787,0.078291428,0.276945575
811,TRUE,129.07,0.145323192,0.110135448,0.222215546
812,FALSE,129.07,0.1032292,0.076684566,0.286670936
813,TRUE,129.07,0.147953685,0.112673045,0.225300035
814,FALSE,129.07,0.104069986,0.07773855,0.280248201
815,TRUE,129.07,0.142668391,0.107907004,0.239830911
816,FALSE,129.07,0.103945222,0.077010604,0.283352425
817,TRUE,129.07,0.149500041,0.112840421,0.214221033
818,FALSE,129.07,0.103354095,0.076640236,0.293224015
819,TRUE,129.07,0.147075345,0.11203742,0.190973235
820,FALSE,129.07,0.104914927,0.078116828,0.287290427
821,TRUE,129.07,0.147121561,0.111683526,0.236550375
822,FALSE,129.07,0.102680449,0.076478435,0.303005338
823,TRUE,129.07,0.151236756,0.113752495,0.179001919
824,FALSE,129.07,0.102832436,0.075620101,0.306112289
825,TRUE,129.07,0.153090217,0.117610379,0.162438399
826,FALSE,129.07,0.105641205,0.079137636,0.26461697
827,TRUE,129.07,0.154854632,0.118013705,0.14951822
828,FALSE,129.07,0.107432578,0.079403629,0.272453922
829,TRUE,129.07,0.149918617,0.113821819,0.178338817
830,FALSE,129.07,0.107407981,0.079732711,0.24083682
831,TRUE,129.07,0.149666161,0.11328949,0.179965551
832,FALSE,129.07,0.10499548,0.077349554,0.284794884
833,TRUE,129.07,0.146838986,0.112211284,0.189754804
834,FALSE,129.07,0.104285835,0.077105369,0.305341853
835,TRUE,129.07,0.151003807,0.114293462,0.153350728
836,FALSE,129.07,0.103280345,0.076807694,0.294429069
837,TRUE,129.07,0.147822076,0.111819544,0.203722231
838,FALSE,129.07,0.104955853,0.077845909,0.275321314
839,TRUE,129.07,0.148776352,0.11312676,0.205866806
840,FALSE,129.07,0.105101674,0.077645371,0.279149363
841,TRUE,129.07,0.155326963,0.117467883,0.193232876
842,FALSE,129.07,0.103069058,0.076074099,0.302781868
843,TRUE,129.07,0.15181973,0.115683195,0.16493024
844,FALSE,129.07,0.103070502,0.076948561,0.310826208
845,TRUE,129.07,0.153898299,0.117570085,0.150134362
846,FALSE,129.07,0.105910148,0.078640916,0.265416745
847,TRUE,129.07,0.148008908,0.112820536,0.184966919
848,FALSE,129.07,0.104071202,0.076587962,0.288749084
849,TRUE,129.07,0.150133785,0.11320879,0.210931688
850,FALSE,129.07,0.1041089,0.077626059,0.278728698
851,TRUE,129.07,0.150028537,0.113243874,0.207831451
852,FALSE,129.07,0.102700993,0.077012247,0.316416848
853,TRUE,129.07,0.151291967,0.114545199,0.175415175
854,FALSE,129.07,0.103409129,0.077428629,0.29752777
855,TRUE,129.07,0.14735658,0.112025271,0.203788943
856,FALSE,129.07,0.104538432,0.076929962,0.275370333
857,TRUE,129.07,0.152013083,0.114831922,0.170008072
858,FALSE,129.07,0.10288208,0.077101436,0.275098983
859,TRUE,129.07,0.146592899,0.111995708,0.201547257
860,FALSE,129.07,0.101282589,0.075236138,0.299910871
861,TRUE,129.07,0.147592857,0.11058506,0.206739924
862,FALSE,129.07,0.105369384,0.078236078,0.282528325
863,TRUE,129.07,0.153674113,0.117241434,0.188636645
864,FALSE,129.07,0.10410951,0.076380329,0.287245455
865,TRUE,129.07,0.151634624,0.114156645,0.170874588
866,FALSE,129.07,0.106826854,0.078147677,0.241586291
867,TRUE,129.07,0.153410162,0.116068453,0.200135471
868,FALSE,129.07,0.103227178,0.0762849,0.297509346
869,TRUE,129.07,0.153317193,0.116472646,0.178089581
870,FALSE,129.07,0.103460989,0.076498875,0.297913497
871,TRUE,129.07,0.149852683,0.113152654,0.194157129
872,FALSE,129.07,0.10352105,0.076066254,0.277653631
873,TRUE,129.07,0.146808459,0.111784336,0.182344
874,FALSE,129.07,0.103503942,0.077344193,0.301821283
875,TRUE,129.07,0.144018787,0.109031538,0.232415475
876,FALSE,129.07,0.10422636,0.076960954,0.255493106
877,TRUE,129.07,0.153869523,0.116426445,0.174587547
878,FALSE,129.07,0.10546407,0.078131043,0.285276185
879,TRUE,129.07,0.153232561,0.117338928,0.132270664
880,FALSE,129.07,0.105864066,0.07881542,0.26812431
881,TRUE,129.07,0.150070322,0.114220908,0.158139779
882,FALSE,129.07,0.103975156,0.0769061,0.289219744
883,TRUE,129.07,0.151140801,0.113415601,0.193769302
884,FALSE,129.07,0.105541005,0.07864412,0.281118719
885,TRUE,129.07,0.145884327,0.111353011,0.22732433
886,FALSE,129.07,0.105249323,0.077786143,0.274988228
887,TRUE,129.07,0.150319411,0.114428009,0.180345231
888,FALSE,129.07,0.106378623,0.078336529,0.264206521
889,TRUE,129.07,0.150008989,0.114748813,0.188219797
890,FALSE,129.07,0.108153321,0.079890634,0.248801223
891,TRUE,129.07,0.144662414,0.108938576,0.185141929
892,FALSE,129.07,0.103369712,0.076229759,0.276163152
893,TRUE,129.07,0.149578826,0.113010833,0.193878104
894,FALSE,129.07,0.102655784,0.07722222,0.302136641
895,TRUE,129.07,0.151399213,0.11523116,0.230727836
896,FALSE,129.07,0.10404341,0.07777512,0.271337343
897,TRUE,129.07,0.143439865,0.108837543,0.235948968
898,FALSE,129.07,0.104208532,0.077141868,0.268890772
899,TRUE,129.07,0.147202494,0.111119477,0.19299089
900,FALSE,129.07,0.10371099,0.076886367,0.298220871
901,TRUE,129.07,0.149664053,0.1133239,0.166831593
902,FALSE,129.07,0.102042817,0.075472488,0.315740735
903,TRUE,129.07,0.150598744,0.11446593,0.147056709
904,FALSE,129.07,0.103907942,0.077460033,0.294240965
905,TRUE,129.07,0.141587419,0.107629436,0.190798495
906,FALSE,129.07,0.104380882,0.077374932,0.268939604
907,TRUE,129.07,0.149690276,0.113443653,0.202759471
908,FALSE,129.07,0.107522456,0.079700663,0.265300455
909,TRUE,129.07,0.148165999,0.112019622,0.177474991
910,FALSE,129.07,0.105101281,0.07784685,0.287396015
911,TRUE,129.07,0.147094597,0.111990847,0.208609827
912,FALSE,129.07,0.104056276,0.077547548,0.276054472
913,TRUE,129.07,0.150041181,0.114490998,0.163801507
914,FALSE,129.07,0.103988929,0.077116155,0.272924004
915,TRUE,129.07,0.150664534,0.11377754,0.214959284
916,FALSE,129.07,0.104442939,0.077514292,0.281166358
917,TRUE,129.07,0.149398719,0.114150194,0.186380986
918,FALSE,129.07,0.104001986,0.077104719,0.284631624
919,TRUE,129.07,0.147943448,0.113189651,0.194975309
920,FALSE,129.07,0.100400191,0.075246786,0.334660756
921,TRUE,129.07,0.150834869,0.11514086,0.191179692
922,FALSE,129.07,0.10377522,0.077421101,0.28946501
923,TRUE,129.07,0.147677457,0.113528186,0.181697306
924,FALSE,129.07,0.105309914,0.077445957,0.266187143
925,TRUE,129.07,0.154309143,0.116805358,0.171126444
926,FALSE,129.07,0.104286344,0.077227862,0.279750879
927,TRUE,129.07,0.155813797,0.119516368,0.145944621
928,FALSE,129.07,0.10380343,0.077419793,0.272962096
929,TRUE,129.07,0.150958477,0.114385272,0.204558318
930,FALSE,129.07,0.10264961,0.076560756,0.28595116
931,TRUE,129.07,0.150927211,0.115341586,0.159149202
932,FALSE,129.07,0.104552695,0.077626175,0.292373513
933,TRUE,129.07,0.147825123,0.113603731,0.205208062
934,FALSE,129.07,0.104241924,0.077215873,0.282305243
935,TRUE,129.07,0.147575671,0.112420721,0.204776147
936,FALSE,129.07,0.104189398,0.077234766,0.286094508
937,TRUE,129.07,0.150645808,0.115536242,0.161848033
938,FALSE,129.07,0.106268511,0.078774713,0.27235269
939,TRUE,129.07,0.149222154,0.113086786,0.170068422
940,FALSE,129.07,0.102308448,0.076759818,0.28907429
941,TRUE,129.07,0.146325511,0.110713136,0.198517555
942,FALSE,129.07,0.105213104,0.077487159,0.288647049
943,TRUE,129.07,0.145744929,0.111908981,0.205311425
944,FALSE,129.07,0.104216014,0.077699104,0.289516593
945,TRUE,129.07,0.147533118,0.113002055,0.201896981
946,FALSE,129.07,0.107560772,0.07958035,0.255962355
947,TRUE,129.07,0.149105761,0.114069526,0.181238729
948,FALSE,129.07,0.105537771,0.077928496,0.293582057
949,TRUE,129.07,0.15146679,0.115102011,0.148420976
950,FALSE,129.07,0.105659876,0.078531775,0.269147786
951,TRUE,129.07,0.148877669,0.11319185,0.198092748
952,FALSE,129.07,0.102727686,0.076059575,0.289878261
953,TRUE,129.07,0.154291575,0.117347147,0.116103838
954,FALSE,129.07,0.102427901,0.07616491,0.312126541
955,TRUE,129.07,0.145500024,0.110367115,0.214176641
956,FALSE,129.07,0.103955506,0.077682773,0.254511833
957,TRUE,129.07,0.153334514,0.116631308,0.16857463
958,FALSE,129.07,0.10599718,0.078687461,0.275525244
959,TRUE,129.07,0.150069115,0.113060709,0.19982492
960,FALSE,129.07,0.105021572,0.077657017,0.279314863
961,TRUE,129.07,0.149527022,0.113903093,0.176447632
962,FALSE,129.07,0.102028542,0.07686761,0.2874047
963,TRUE,129.07,0.144221536,0.109267604,0.196122941
964,FALSE,129.07,0.104352437,0.077803074,0.298188768
965,TRUE,129.07,0.145907591,0.110621638,0.226161588
966,FALSE,129.07,0.104915939,0.077941358,0.271375391
967,TRUE,129.07,0.151542151,0.114736228,0.17035115
968,FALSE,129.07,0.10482416,0.077491781,0.297423849
969,TRUE,129.07,0.151325244,0.114762848,0.188104642
970,FALSE,129.07,0.107124082,0.079267169,0.264164566
971,TRUE,129.07,0.148505401,0.112401908,0.202277302
972,FALSE,129.07,0.105065282,0.077986535,0.288836086
973,TRUE,129.07,0.147441322,0.111458483,0.207052716
