,RandomState,VOC,RMSE,MAE,R2
3200,FALSE,93.069,0.120532568,0.093439927,0.001611112
3201,TRUE,93.069,0.167086624,0.118911246,-0.035085488
3202,FALSE,93.069,0.118726125,0.09168667,0.010441105
3203,TRUE,93.069,0.160017099,0.116226334,-0.033915492
3204,FALSE,93.069,0.118726565,0.091634476,-0.000406845
3205,TRUE,93.069,0.166350574,0.118788433,-0.015920712
3206,FALSE,93.069,0.121189619,0.093196028,0.012110497
3207,TRUE,93.069,0.166490699,0.1174133,-0.014341806
3208,FALSE,93.069,0.119530553,0.092528516,1.13E-05
3209,TRUE,93.069,0.168222875,0.121005241,-0.0489432
3210,FALSE,93.069,0.120539695,0.094204675,0.013265498
3211,TRUE,93.069,0.170178553,0.121270826,-0.057546171
3212,FALSE,93.069,0.121205114,0.093709833,-0.007371829
3213,TRUE,93.069,0.166681415,0.120356585,-0.052694983
3214,FALSE,93.069,0.119404372,0.09262198,0.005650243
3215,TRUE,93.069,0.16806009,0.11917165,-0.062946114
3216,FALSE,93.069,0.119856144,0.092277407,0.010498412
3217,TRUE,93.069,0.163843975,0.118353878,-0.039270933
3218,FALSE,93.069,0.119640743,0.092097985,0.006971258
3219,TRUE,93.069,0.169774758,0.121074253,-0.027280852
3220,FALSE,93.069,0.119333678,0.092663757,-0.008016473
3221,TRUE,93.069,0.173596496,0.124502296,-0.04633717
3222,FALSE,93.069,0.119473198,0.092071295,-0.015658646
3223,TRUE,93.069,0.164493934,0.117470707,-0.042654795
3224,FALSE,93.069,0.120920353,0.093765402,0.018980558
3225,TRUE,93.069,0.163514855,0.116922912,-0.041655158
3226,FALSE,93.069,0.123496239,0.094498189,-0.004906197
3227,TRUE,93.069,0.161831844,0.116667788,-0.030778796
3228,FALSE,93.069,0.119917154,0.093642546,-0.001261606
3229,TRUE,93.069,0.165103012,0.119998387,-0.041511791
3230,FALSE,93.069,0.12060759,0.093392302,-0.021879474
3231,TRUE,93.069,0.16221673,0.116822703,-0.017324236
3232,FALSE,93.069,0.120020882,0.093215309,-0.004773793
3233,TRUE,93.069,0.164717362,0.119170488,-0.046227424
3234,FALSE,93.069,0.118644704,0.092096483,0.009630568
3235,TRUE,93.069,0.168201554,0.120164231,-0.062135404
3236,FALSE,93.069,0.117867323,0.091854412,-0.016235742
3237,TRUE,93.069,0.167999065,0.120708599,-0.027162983
3238,FALSE,93.069,0.117509906,0.09133733,-0.00080733
3239,TRUE,93.069,0.159313532,0.114667592,-0.041289151
3240,FALSE,93.069,0.120456627,0.092789209,0.01491094
