,RandomState,VOC,RMSE,MAE,R2
0,FALSE,73.064,0.158272112,0.10998057,-0.172564351
1,TRUE,73.064,0.129845892,0.089191218,-0.096157965
2,FALSE,73.064,0.161808524,0.113316126,-0.178027308
3,TRUE,73.064,0.139455434,0.088790412,-0.034028574
4,FALSE,73.064,0.161085866,0.112067148,-0.166855015
5,TRUE,73.064,0.12533623,0.084318845,-0.065630106
6,FALSE,73.064,0.165163904,0.113561591,-0.179987248
7,TRUE,73.064,0.127342565,0.084514076,-0.082347066
8,FALSE,73.064,0.163564306,0.112545804,-0.181965065
9,TRUE,73.064,0.138894404,0.094188944,-0.103303821
10,FALSE,73.064,0.164616593,0.113186181,-0.184499939
11,TRUE,73.064,0.133425305,0.086011347,-0.048735584
12,FALSE,73.064,0.165751974,0.115432109,-0.165778964
13,TRUE,73.064,0.131774596,0.092984761,0.035358938
14,FALSE,73.064,0.161755561,0.112679609,-0.186593007
15,TRUE,73.064,0.134189432,0.088531698,-0.074530404
16,FALSE,73.064,0.166812108,0.114390107,-0.172346639
17,TRUE,73.064,0.140884641,0.091152701,-0.100865288
18,FALSE,73.064,0.162580862,0.112796753,-0.191637249
19,TRUE,73.064,0.138831525,0.092192832,-0.073341203
20,FALSE,73.064,0.165411612,0.114496486,-0.18250282
21,TRUE,73.064,0.134368795,0.089206575,-0.086350672
22,FALSE,73.064,0.163306649,0.114200093,-0.206594433
23,TRUE,73.064,0.128006189,0.086186067,-0.044269562
24,FALSE,73.064,0.161295374,0.111807158,-0.188530725
25,TRUE,73.064,0.130252715,0.087259689,-0.072380831
26,FALSE,73.064,0.162118751,0.113021376,-0.182350465
27,TRUE,73.064,0.132213739,0.085685955,-0.076260614
28,FALSE,73.064,0.164639548,0.115024175,-0.168857689
29,TRUE,73.064,0.129927599,0.090604208,-0.061595518
30,FALSE,73.064,0.167264842,0.115172731,-0.209292475
31,TRUE,73.064,0.130826294,0.088625545,-0.079018093
32,FALSE,73.064,0.166948191,0.114101715,-0.184598594
33,TRUE,73.064,0.134695715,0.090478283,-0.036932297
34,FALSE,73.064,0.164417106,0.112543971,-0.165716482
35,TRUE,73.064,0.127752396,0.086758824,-0.064424878
36,FALSE,73.064,0.162463132,0.11286862,-0.179884876
37,TRUE,73.064,0.132660689,0.090967311,-0.082177627
38,FALSE,73.064,0.161626273,0.111225467,-0.16891055
39,TRUE,73.064,0.13379228,0.089781014,-0.086586275
40,FALSE,73.064,0.168359712,0.115884964,-0.169916091
41,TRUE,73.064,0.132481044,0.088474371,-0.067402649
42,FALSE,73.064,0.162749099,0.111916462,-0.1648534
43,TRUE,73.064,0.130058204,0.083015627,-0.076178293
44,FALSE,73.064,0.161128648,0.111686713,-0.169840334
45,TRUE,73.064,0.117318907,0.078338959,-0.135785311
46,FALSE,73.064,0.164209002,0.114670681,-0.190297104
47,TRUE,73.064,0.133646751,0.08890205,-0.049376618
48,FALSE,73.064,0.162503074,0.112585426,-0.175323304
49,TRUE,73.064,0.131465349,0.088406671,-0.121263512
50,FALSE,73.064,0.161806918,0.112202152,-0.17617568
